CVE_ID,Description,Cause1,Cause2,Location,Version,Attacker,Operation,Consequence
CVE-2016-7424,The put_no_rnd_pixels8_xy2_mmx function in x86/rnd_template.c in libav 11.7 and earlier allows remote attackers to cause a denial of service (NULL pointer dereference and crash) via a crafted MP3 file.,,,The put_no_rnd_pixels8_xy2_mmx function in x86/rnd_template.c,libav 11.7 and earlier,remote attackers,a crafted MP3 file,a denial of service (NULL pointer dereference and crash)
CVE-2017-6310,"An issue was discovered in tnef before 1.4.13. Four type confusions have been identified in the file_add_mapi_attrs() function. These might lead to invalid read and write operations, controlled by an attacker.",,,the file_add_mapi_attrs() function,tnef before 1.4.13,,,"invalid read and write operations, controlled"
CVE-2012-4554,The OpenID module in Drupal 7.x before 7.16 allows remote OpenID servers to read arbitrary files via a crafted DOCTYPE declaration in an XRDS file.,,,The OpenID module,Drupal 7.x before 7.16,remote OpenID servers,a crafted DOCTYPE declaration in an XRDS file,read arbitrary files
CVE-2016-6289,"Integer overflow in the virtual_file_ex function in TSRM/tsrm_virtual_cwd.c in PHP before 5.5.38, 5.6.x before 5.6.24, and 7.x before 7.0.9 allows remote attackers to cause a denial of service (stack-based buffer overflow) or possibly have unspecified other impact via a crafted extract operation on a ZIP archive.",Integer overflow,,the virtual_file_ex function,"TSRM/tsrm_virtual_cwd.c in PHP before 5.5.38, 5.6.x before 5.6.24, and 7.x before 7.0.9",remote attackers,a crafted extract operation on a ZIP archive,a denial of service (stack-based buffer overflow) or possibly have unspecified other impact
CVE-2017-7858,FreeType 2 before 2017-03-07 has an out-of-bounds write related to the TT_Get_MM_Var function in truetype/ttgxvar.c and the sfnt_init_face function in sfnt/sfobjs.c.,an out-of-bounds write,,the TT_Get_MM_Var function in truetype/ttgxvar.c and the sfnt_init_face function in sfnt/sfobjs.c,FreeType 2 before 2017-03-07,,,
CVE-2017-17712,The raw_sendmsg() function in net/ipv4/raw.c in the Linux kernel through 4.14.6 has a race condition in inet->hdrincl that leads to uninitialized stack pointer usage; this allows a local user to execute code and gain privileges.,a race condition,,The raw_sendmsg() function in net/ipv4/raw.c,the Linux kernel through 4.14.6,a local user,,execute code and gain privileges
CVE-2019-16772,"The serialize-to-js NPM package before version 3.0.1 is vulnerable to Cross-site Scripting (XSS). It does not properly mitigate against unsafe characters in serialized regular expressions. This vulnerability is not affected on Node.js environment since Node.js's implementation of RegExp.prototype.toString() backslash-escapes all forward slashes in regular expressions. If serialized data of regular expression objects are used in an environment other than Node.js, it is affected by this vulnerability.",Cross-site Scripting (XSS),It does not properly mitigate against unsafe characters in serialized regular expressions,,The serialize-to-js NPM package before version 3.0.1,,,
CVE-2019-1010208,"IDRIX, Truecrypt Veracrypt, Truecrypt Prior to 1.23-Hotfix-1 (Veracrypt), all versions (Truecrypt) is affected by: Buffer Overflow. The impact is: Minor information disclosure of kernel stack. The component is: Veracrypt NT Driver (veracrypt.sys). The attack vector is: Locally executed code, IOCTL request to driver. The fixed version is: 1.23-Hotfix-1.",Buffer Overflow,,Veracrypt NT Driver (veracrypt.sys),"IDRIX, Truecrypt Veracrypt, Truecrypt Prior to 1.23-Hotfix-1 (Veracrypt), all versions (Truecrypt)",,"Locally executed code, IOCTL request to driver",Minor information disclosure of kernel stack
CVE-2019-12981,"Ming (aka libming) 0.4.8 has an ""fill overflow"" vulnerability in the function SWFShape_setLeftFillStyle in blocks/shape.c.","an ""fill overflow"" vulnerability",,the function SWFShape_setLeftFillStyle in blocks/shape.c,Ming (aka libming) 0.4.8,,,
CVE-2013-7016,"The get_siz function in libavcodec/jpeg2000dec.c in FFmpeg before 2.1 does not ensure the expected sample separation, which allows remote attackers to cause a denial of service (out-of-bounds array access) or possibly have unspecified other impact via crafted JPEG2000 data.",does not ensure the expected sample separation,,The get_siz function in libavcodec/jpeg2000dec.c,FFmpeg before 2.1,remote attackers,crafted JPEG2000 data,a denial of service (out-of-bounds array access) or possibly have unspecified other impact
CVE-2015-8863,"Off-by-one error in the tokenadd function in jv_parse.c in jq allows remote attackers to cause a denial of service (crash) via a long JSON-encoded number, which triggers a heap-based buffer overflow.",Off-by-one error,,the tokenadd function,jv_parse.c in jq,remote attackers,"a long JSON-encoded number, which triggers a heap-based buffer overflow",a denial of service (crash)
CVE-2018-12932,PlayEnhMetaFileRecord in enhmetafile.c in Wine 3.7 allows attackers to cause a denial of service (heap-based buffer overflow) or possibly have unspecified other impact by triggering a large pAlphaBlend->cbBitsSrc value.,,,PlayEnhMetaFileRecord in enhmetafile.c,Wine 3.7,,triggering a large pAlphaBlend->cbBitsSrc value,a denial of service (heap-based buffer overflow) or possibly have unspecified other impact
CVE-2018-11851,"In all android releases (Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, lack of check on input received to calculate the buffer length can lead to out of bound write to kernel stack.",lack of check on input received to calculate the buffer length,,"all android releases (Android for MSM, Firefox OS for MSM, QRD Android) from CAF",,,,out of bound write to kernel stack
CVE-2020-15229,"Singularity (an open source container platform) from version 3.1.1 through 3.6.3 has a vulnerability. Due to insecure handling of path traversal and the lack of path sanitization within `unsquashfs`, it is possible to overwrite/create any files on the host filesystem during the extraction with a crafted squashfs filesystem. The extraction occurs automatically for unprivileged (either installation or with `allow setuid = no`) run of Singularity when a user attempt to run an image which is a local SIF image or a single file containing a squashfs filesystem and is coming from remote sources `library://` or `shub://`. Image build is also impacted in a more serious way as it can be used by a root user, allowing an attacker to overwrite/create files leading to a system compromise, so far bootstrap methods `library`, `shub` and `localimage` are triggering the squashfs extraction. This issue is addressed in Singularity 3.6.4. All users are advised to upgrade to 3.6.4 especially if they use Singularity mainly for building image as root user. There is no solid workaround except to temporary avoid to use unprivileged mode with single file images in favor of sandbox images instead. Regarding image build, temporary avoid to build from `library` and `shub` sources and as much as possible use `--fakeroot` or a VM for that.",insecure handling of path traversal and the lack of path sanitization within `unsquashfs`,,,Singularity (an open source container platform) from version 3.1.1 through 3.6.3,,,overwrite/create any files on the host filesystem during the extraction with a crafted squashfs filesystem
CVE-2018-5812,"An error within the ""nikon_coolscan_load_raw()"" function (internal/dcraw_common.cpp) in LibRaw versions prior to 0.18.9 can be exploited to trigger a NULL pointer dereference.",,,"the ""nikon_coolscan_load_raw()"" function (internal/dcraw_common.cpp)",LibRaw versions prior to 0.18.9,,,a NULL pointer dereference
CVE-2014-6055,Multiple stack-based buffer overflows in the File Transfer feature in rfbserver.c in LibVNCServer 0.9.9 and earlier allow remote authenticated users to cause a denial of service (crash) and possibly execute arbitrary code via a (1) long file or (2) directory name or the (3) FileTime attribute in a rfbFileTransferOffer message.,Multiple stack-based buffer overflows,,the File Transfer feature in rfbserver.c,LibVNCServer 0.9.9 and earlier,remote authenticated users,a (1) long file or (2) directory name or the (3) FileTime attribute in a rfbFileTransferOffer message,a denial of service (crash) and possibly execute arbitrary code
CVE-2015-8871,Use-after-free vulnerability in the opj_j2k_write_mco function in j2k.c in OpenJPEG before 2.1.1 allows remote attackers to have unspecified impact via unknown vectors.,Use-after-free vulnerability,,the opj_j2k_write_mco function,j2k.c in OpenJPEG before 2.1.1,remote attackers,,have unspecified impact
CVE-2012-3361,"virt/disk/api.py in OpenStack Compute (Nova) Folsom (2012.2), Essex (2012.1), and Diablo (2011.3) allows remote authenticated users to overwrite arbitrary files via a symlink attack on a file in an image.",,,virt/disk/api.py,"OpenStack Compute (Nova) Folsom (2012.2), Essex (2012.1), and Diablo (2011.3)",remote authenticated users,a symlink attack on a file in an image,overwrite arbitrary files
CVE-2017-9074,"The IPv6 fragmentation implementation in the Linux kernel through 4.11.1 does not consider that the nexthdr field may be associated with an invalid option, which allows local users to cause a denial of service (out-of-bounds read and BUG) or possibly have unspecified other impact via crafted socket and send system calls.",does not consider that the nexthdr field may be associated with an invalid option,,The IPv6 fragmentation implementation,the Linux kernel through 4.11.1,local users,crafted socket and send system calls,a denial of service (out-of-bounds read and BUG) or possibly have unspecified other impact
CVE-2014-9710,"The Btrfs implementation in the Linux kernel before 3.19 does not ensure that the visible xattr state is consistent with a requested replacement, which allows local users to bypass intended ACL settings and gain privileges via standard filesystem operations (1) during an xattr-replacement time window, related to a race condition, or (2) after an xattr-replacement attempt that fails because the data does not fit.",does not ensure that the visible xattr state is consistent with a requested replacement,,The Btrfs implementation,the Linux kernel before 3.19,local users,"standard filesystem operations (1) during an xattr-replacement time window, related to a race condition, or (2) after an xattr-replacement attempt that fails because the data does not fit",bypass intended ACL settings and gain privileges
CVE-2020-26216,"TYPO3 Fluid before versions 2.0.8, 2.1.7, 2.2.4, 2.3.7, 2.4.4, 2.5.11 and 2.6.10 is vulnerable to Cross-Site Scripting. Three XSS vulnerabilities have been detected in Fluid: 1. TagBasedViewHelper allowed XSS through maliciously crafted additionalAttributes arrays by creating keys with attribute-closing quotes followed by HTML. When rendering such attributes, TagBuilder would not escape the keys. 2. ViewHelpers which used the CompileWithContentArgumentAndRenderStatic trait, and which declared escapeOutput = false, would receive the content argument in unescaped format. 3. Subclasses of AbstractConditionViewHelper would receive the then and else arguments in unescaped format. Update to versions 2.0.8, 2.1.7, 2.2.4, 2.3.7, 2.4.4, 2.5.11 or 2.6.10 of this typo3fluid/fluid package that fix the problem described. More details are available in the linked advisory.",Cross-Site Scripting,,Fluid: 1,"TYPO3 Fluid before versions 2.0.8, 2.1.7, 2.2.4, 2.3.7, 2.4.4, 2.5.11 and 2.6.10",,maliciously crafted additionalAttributes arrays by creating keys with attribute-closing quotes followed by HTML,XSS
CVE-2013-7459,Heap-based buffer overflow in the ALGnew function in block_templace.c in Python Cryptography Toolkit (aka pycrypto) allows remote attackers to execute arbitrary code as demonstrated by a crafted iv parameter to cryptmsg.py.,Heap-based buffer overflow,,the ALGnew function,block_templace.c in Python Cryptography Toolkit (aka pycrypto),remote attackers,a crafted iv parameter to cryptmsg.py,execute arbitrary code as demonstrated
CVE-2016-5097,"phpMyAdmin before 4.6.2 places tokens in query strings and does not arrange for them to be stripped before external navigation, which allows remote attackers to obtain sensitive information by reading (1) HTTP requests or (2) server logs.",places tokens in query strings and does not arrange for them to be stripped before external navigation,,,phpMyAdmin before 4.6.2,remote attackers,reading (1) HTTP requests or (2) server logs,obtain sensitive information
CVE-2013-3670,"The rle_unpack function in vmdav.c in libavcodec in FFmpeg git 20130328 through 20130501 does not properly use the bytestream2 API, which allows remote attackers to cause a denial of service (out-of-bounds array access and application crash) via crafted RLE data. NOTE: the vendor has listed this as an issue fixed in 1.2.1, but the issue is actually in new code that was not shipped with the 1.2.1 release or any earlier release.",does not properly use the bytestream2 API,,The rle_unpack function in vmdav.c,libavcodec in FFmpeg git 20130328 through 20130501,remote attackers,crafted RLE data,a denial of service (out-of-bounds array access and application crash)
CVE-2019-20172,"Kernel/VM/MemoryManager.cpp in SerenityOS before 2019-12-30 does not reject syscalls with pointers into the kernel-only virtual address space, which allows local users to gain privileges by overwriting a return address that was found on the kernel stack.",does not reject syscalls with pointers into the kernel-only virtual address space,,Kernel/VM/MemoryManager.cpp,SerenityOS before 2019-12-30,local users,overwriting a return address that was found on the kernel stack,gain privileges
CVE-2009-3613,"The swiotlb functionality in the r8169 driver in drivers/net/r8169.c in the Linux kernel before 2.6.27.22 allows remote attackers to cause a denial of service (IOMMU space exhaustion and system crash) by using jumbo frames for a large amount of network traffic, as demonstrated by a flood ping.",,,The swiotlb functionality in the r8169 driver in drivers/net/r8169.c,the Linux kernel before 2.6.27.22,remote attackers,"using jumbo frames for a large amount of network traffic, as demonstrated by a flood ping",a denial of service (IOMMU space exhaustion and system crash)
CVE-2017-1000423,b2evolution version 6.6.0 - 6.8.10 is vulnerable to input validation (backslash and single quote escape) in basic install functionality resulting in unauthenticated attacker gaining PHP code execution on the victim's setup.,input validation (backslash and single quote escape),,basic install functionality,b2evolution version 6.6.0 - 6.8.10,unauthenticated attacker,,gaining PHP code execution
CVE-2014-9470,Cross-site scripting (XSS) vulnerability in the loadForm function in Frontend/Modules/Search/Actions/Index.php in Fork CMS before 3.8.4 allows remote attackers to inject arbitrary web script or HTML via the q_widget parameter to en/search.,Cross-site scripting (XSS) vulnerability,,the loadForm function,Frontend/Modules/Search/Actions/Index.php in Fork CMS before 3.8.4,remote attackers,the q_widget parameter to en/search,inject arbitrary web script or HTML
CVE-2013-7267,"The atalk_recvmsg function in net/appletalk/ddp.c in the Linux kernel before 3.12.4 updates a certain length value without ensuring that an associated data structure has been initialized, which allows local users to obtain sensitive information from kernel memory via a (1) recvfrom, (2) recvmmsg, or (3) recvmsg system call.",updates a certain length value without ensuring that an associated data structure has been initialized,,The atalk_recvmsg function in net/appletalk/ddp.c,the Linux kernel before 3.12.4,local users,"a (1) recvfrom, (2) recvmmsg, or (3) recvmsg system call",obtain sensitive information from kernel memory
CVE-2017-1000443,Eleix Openhacker version 0.1.47 is vulnerable to a XSS vulnerability in the bank transactions component resulting in arbitrary code execution in the browser.,a XSS vulnerability,,the bank transactions component,Eleix Openhacker version 0.1.47,,,arbitrary code execution
CVE-2015-9251,"jQuery before 3.0.0 is vulnerable to Cross-site Scripting (XSS) attacks when a cross-domain Ajax request is performed without the dataType option, causing text/javascript responses to be executed.",Cross-site Scripting (XSS) attacks,,jQuery before 3.0.0,,,,text/javascript responses to be executed
CVE-2017-5967,"The time subsystem in the Linux kernel through 4.9.9, when CONFIG_TIMER_STATS is enabled, allows local users to discover real PID values (as distinguished from PID values inside a PID namespace) by reading the /proc/timer_list file, related to the print_timer function in kernel/time/timer_list.c and the __timer_stats_timer_set_start_info function in kernel/time/timer.c.",,,The time subsystem,the Linux kernel through 4.9.9,local users,"reading the /proc/timer_list file, related to the print_timer function in kernel/time/timer_list.c and the __timer_stats_timer_set_start_info function in kernel/time/timer.c",discover real PID values (as distinguished from PID values inside a PID namespace)
CVE-2017-6200,Sandstorm before build 0.203 allows remote attackers to read any specified file under /etc or /run via the sandbox backup function. The root cause is that the findFilesToZip function doesn't filter Line Feed (\n) characters in a directory name.,,,,Sandstorm before build 0.203,remote attackers,the sandbox backup function. The root cause is that the findFilesToZip function doesn't filter Line Feed (\n) characters in a directory name,read any specified file under /etc or /run
CVE-2019-15919,An issue was discovered in the Linux kernel before 5.0.10. SMB2_write in fs/cifs/smb2pdu.c has a use-after-free.,a use-after-free,,fs/cifs/smb2pdu.c,the Linux kernel before 5.0.10,,,
CVE-2011-0463,"The ocfs2_prepare_page_for_write function in fs/ocfs2/aops.c in the Oracle Cluster File System 2 (OCFS2) subsystem in the Linux kernel before 2.6.39-rc1 does not properly handle holes that cross page boundaries, which allows local users to obtain potentially sensitive information from uninitialized disk locations by reading a file.",does not properly handle holes that cross page boundaries,,The ocfs2_prepare_page_for_write function in fs/ocfs2/aops.c,the Oracle Cluster File System 2 (OCFS2) subsystem in the Linux kernel before 2.6.39-rc1,local users,reading a file,obtain potentially sensitive information from uninitialized disk locations
CVE-2006-2934,"SCTP conntrack (ip_conntrack_proto_sctp.c) in netfilter for Linux kernel 2.6.17 before 2.6.17.3 and 2.6.16 before 2.6.16.23 allows remote attackers to cause a denial of service (crash) via a packet without any chunks, which causes a variable to contain an invalid value that is later used to dereference a pointer.",,,SCTP conntrack (ip_conntrack_proto_sctp.c),netfilter for Linux kernel 2.6.17 before 2.6.17.3 and 2.6.16 before 2.6.16.23,remote attackers,a packet without any chunks,a denial of service (crash)
CVE-2012-2354,"Moodle 2.1.x before 2.1.6 and 2.2.x before 2.2.3 allows remote authenticated users to bypass the moodle/site:readallmessages capability requirement and read arbitrary messages by using the ""Recent conversations"" feature with a modified parameter in a URL.",,,,Moodle 2.1.x before 2.1.6 and 2.2.x before 2.2.3,remote authenticated users,"using the ""Recent conversations"" feature with a modified parameter in a URL",bypass the moodle/site:readallmessages capability requirement and read arbitrary messages
CVE-2014-4049,"Heap-based buffer overflow in the php_parserr function in ext/standard/dns.c in PHP 5.6.0beta4 and earlier allows remote servers to cause a denial of service (crash) and possibly execute arbitrary code via a crafted DNS TXT record, related to the dns_get_record function.",Heap-based buffer overflow,,the php_parserr function in ext/standard/dns.c,PHP 5.6.0beta4 and earlier,remote servers,"a crafted DNS TXT record, related to the dns_get_record function",a denial of service (crash) and possibly execute arbitrary code
CVE-2018-10821,Cross-site scripting (XSS) vulnerability in backend/pages/modify.php in BlackCatCMS 1.3 allows remote authenticated users with the Admin role to inject arbitrary web script or HTML via the search panel.,Cross-site scripting (XSS) vulnerability,,,backend/pages/modify.php in BlackCatCMS 1.3,remote authenticated users,the search panel,the Admin role to inject arbitrary web script or HTML
CVE-2017-5480,Directory traversal vulnerability in inc/files/files.ctrl.php in b2evolution through 6.8.3 allows remote authenticated users to read or delete arbitrary files by leveraging back-office access to provide a .. (dot dot) in the fm_selected array parameter.,Directory traversal vulnerability,,inc/files/files.ctrl.php,b2evolution through 6.8.3,remote authenticated users,leveraging back-office access to provide a .. (dot dot) in the fm_selected array parameter,read or delete arbitrary files
CVE-2017-8063,"drivers/media/usb/dvb-usb/cxusb.c in the Linux kernel 4.9.x and 4.10.x before 4.10.12 interacts incorrectly with the CONFIG_VMAP_STACK option, which allows local users to cause a denial of service (system crash) or possibly have unspecified other impact by leveraging use of more than one virtual page for a DMA scatterlist.",interacts incorrectly with the CONFIG_VMAP_STACK option,,drivers/media/usb/dvb-usb/cxusb.c,the Linux kernel 4.9.x and 4.10.x before 4.10.12,local users,leveraging use of more than one virtual page for a DMA scatterlist,a denial of service (system crash) or possibly have unspecified other impact
CVE-2013-3527,Multiple SQL injection vulnerabilities in Vanilla Forums before 2.0.18.8 allow remote attackers to execute arbitrary SQL commands via the parameter name in the Form/Email array to (1) entry/signin or (2) entry/passwordrequest.,Multiple SQL injection vulnerabilities,,,Vanilla Forums before 2.0.18.8,remote attackers,the parameter name in the Form/Email array to (1) entry/signin or (2) entry/passwordrequest,execute arbitrary SQL commands
CVE-2019-8956,"In the Linux Kernel before versions 4.20.8 and 4.19.21 a use-after-free error in the ""sctp_sendmsg()"" function (net/sctp/socket.c) when handling SCTP_SENDALL flag can be exploited to corrupt memory.",a use-after-free error,,"the ""sctp_sendmsg()"" function (net/sctp/socket.c)",the Linux Kernel before versions 4.20.8 and 4.19.21,,,corrupt memory
CVE-2019-16971,"In FusionPBX up to 4.5.7, the file app\messages\messages_thread.php uses an unsanitized ""contact_uuid"" variable coming from the URL, which is reflected on 3 occasions in HTML, leading to XSS.","uses an unsanitized ""contact_uuid"" variable coming from the URL",,file app\messages\messages_thread.php,FusionPBX up to 4.5.7,,,XSS
CVE-2016-2043,Cross-site scripting (XSS) vulnerability in the goToFinish1NF function in js/normalization.js in phpMyAdmin 4.4.x before 4.4.15.3 and 4.5.x before 4.5.4 allows remote authenticated users to inject arbitrary web script or HTML via a table name to the normalization page.,Cross-site scripting (XSS) vulnerability,,the goToFinish1NF function in js/normalization.js,phpMyAdmin 4.4.x before 4.4.15.3 and 4.5.x before 4.5.4,remote authenticated users,a table name to the normalization page,inject arbitrary web script or HTML
CVE-2010-2071,"The btrfs_xattr_set_acl function in fs/btrfs/acl.c in btrfs in the Linux kernel 2.6.34 and earlier does not check file ownership before setting an ACL, which allows local users to bypass file permissions by setting arbitrary ACLs, as demonstrated using setfacl.",does not check file ownership before setting an ACL,,The btrfs_xattr_set_acl function in fs/btrfs/acl.c in btrfs,the Linux kernel 2.6.34 and earlier,local users,"setting arbitrary ACLs, as demonstrated using setfacl",bypass file permissions
CVE-2021-25325,MISP 2.4.136 has XSS via galaxy cluster element values to app/View/GalaxyElements/ajax/index.ctp. Reference types could contain javascript: URLs.,XSS,,app/View/GalaxyElements/ajax/index.ctp,MISP 2.4.136,,galaxy cluster element values,
CVE-2019-19249,Controllers/InvitationsController.cs in QueryTree before 3.0.99-beta mishandles invitations.,mishandles invitations,,Controllers/InvitationsController.cs,QueryTree before 3.0.99-beta,,,
CVE-2010-5110,DCTStream.cc in Poppler before 0.13.3 allows remote attackers to cause a denial of service (crash) via a crafted PDF file.,,,DCTStream.cc,Poppler before 0.13.3,remote attackers,a crafted PDF file,a denial of service (crash)
CVE-2012-2654,"The (1) EC2 and (2) OS APIs in OpenStack Compute (Nova) Folsom (2012.2), Essex (2012.1), and Diablo (2011.3) do not properly check the protocol when security groups are created and the network protocol is not specified entirely in lowercase, which allows remote attackers to bypass intended access restrictions.",do not properly check the protocol,,,"The (1) EC2 and (2) OS APIs in OpenStack Compute (Nova) Folsom (2012.2), Essex (2012.1), and Diablo (2011.3)",remote attackers,,bypass intended access restrictions
CVE-2012-4485,Multiple cross-site scripting (XSS) vulnerabilities in the galleryformatter_field_formatter_view functiuon in galleryformatter.tpl.php the Gallery formatter module before 7.x-1.2 for Drupal allow remote authenticated users with permissions to create a node or entity to inject arbitrary web script or HTML via the (1) title or (2) alt parameter.,Multiple cross-site scripting (XSS) vulnerabilities,,the galleryformatter_field_formatter_view functiuon,galleryformatter.tpl.php the Gallery formatter module before 7.x-1.2 for Drupal,remote authenticated users with permissions,the (1) title or (2) alt parameter,create a node or entity to inject arbitrary web script or HTML
CVE-2020-15208,"In tensorflow-lite before versions 1.15.4, 2.0.3, 2.1.2, 2.2.1 and 2.3.1, when determining the common dimension size of two tensors, TFLite uses a `DCHECK` which is no-op outside of debug compilation modes. Since the function always returns the dimension of the first tensor, malicious attackers can craft cases where this is larger than that of the second tensor. In turn, this would result in reads/writes outside of bounds since the interpreter will wrongly assume that there is enough data in both tensors. The issue is patched in commit 8ee24e7949a203d234489f9da2c5bf45a7d5157d, and is released in TensorFlow versions 1.15.4, 2.0.3, 2.1.2, 2.2.1, or 2.3.1.",the function always returns the dimension of the first tensor,the interpreter will wrongly assume that there is enough data in both tensors,,"tensorflow-lite before versions 1.15.4, 2.0.3, 2.1.2, 2.2.1 and 2.3.1",,,reads/writes outside of bounds
CVE-2016-3699,"The Linux kernel, as used in Red Hat Enterprise Linux 7.2 and Red Hat Enterprise MRG 2 and when booted with UEFI Secure Boot enabled, allows local users to bypass intended Secure Boot restrictions and execute untrusted code by appending ACPI tables to the initrd.",,,,"The Linux kernel, as used in Red Hat Enterprise Linux 7.2 and Red Hat Enterprise MRG 2",local users,appending ACPI tables to the initrd,bypass intended Secure Boot restrictions and execute untrusted code
CVE-2017-5897,"The ip6gre_err function in net/ipv6/ip6_gre.c in the Linux kernel allows remote attackers to have unspecified impact via vectors involving GRE flags in an IPv6 packet, which trigger an out-of-bounds access.",,,The ip6gre_err function in net/ipv6/ip6_gre.c,,remote attackers,"vectors involving GRE flags in an IPv6 packet, which trigger an out-of-bounds access",have unspecified impact
CVE-2017-18013,"In LibTIFF 4.0.9, there is a Null-Pointer Dereference in the tif_print.c TIFFPrintDirectory function, as demonstrated by a tiffinfo crash.",a Null-Pointer Dereference,,the tif_print.c TIFFPrintDirectory function,LibTIFF 4.0.9,,,
CVE-2016-10158,"The exif_convert_any_to_int function in ext/exif/exif.c in PHP before 5.6.30, 7.0.x before 7.0.15, and 7.1.x before 7.1.1 allows remote attackers to cause a denial of service (application crash) via crafted EXIF data that triggers an attempt to divide the minimum representable negative integer by -1.",,,The exif_convert_any_to_int function in ext/exif/exif.c,"PHP before 5.6.30, 7.0.x before 7.0.15, and 7.1.x before 7.1.1",remote attackers,crafted EXIF data that triggers an attempt to divide the minimum representable negative integer by -1,a denial of service (application crash)
CVE-2019-15925,An issue was discovered in the Linux kernel before 5.2.3. An out of bounds access exists in the function hclge_tm_schd_mode_vnet_base_cfg in the file drivers/net/ethernet/hisilicon/hns3/hns3pf/hclge_tm.c.,An out of bounds access,,the function hclge_tm_schd_mode_vnet_base_cfg in the file drivers/net/ethernet/hisilicon/hns3/hns3pf/hclge_tm.c,the Linux kernel before 5.2.3,,,
CVE-2013-4254,The validate_event function in arch/arm/kernel/perf_event.c in the Linux kernel before 3.10.8 on the ARM platform allows local users to gain privileges or cause a denial of service (NULL pointer dereference and system crash) by adding a hardware event to an event group led by a software event.,,,The validate_event function in arch/arm/kernel/perf_event.c,the Linux kernel before 3.10.8 on the ARM platform,local users,adding a hardware event to an event group led by a software event,gain privileges or cause a denial of service (NULL pointer dereference and system crash)
CVE-2018-3769,"ruby-grape ruby gem suffers from a cross-site scripting (XSS) vulnerability via ""format"" parameter.",a cross-site scripting (XSS) vulnerability,,ruby-grape ruby gem,,,"""format"" parameter",
CVE-2016-7180,"epan/dissectors/packet-ipmi-trace.c in the IPMI trace dissector in Wireshark 2.x before 2.0.6 does not properly consider whether a string is constant, which allows remote attackers to cause a denial of service (use-after-free and application crash) via a crafted packet.",does not properly consider whether a string is constant,,epan/dissectors/packet-ipmi-trace.c in the IPMI trace dissector,Wireshark 2.x before 2.0.6,remote attackers,a crafted packet,a denial of service (use-after-free and application crash)
CVE-2018-12322,There is a heap out of bounds read in radare2 2.6.0 in _6502_op() in libr/anal/p/anal_6502.c via a crafted iNES ROM binary file.,a heap out of bounds read,,_6502_op() in libr/anal/p/anal_6502.c,radare2 2.6.0,,a crafted iNES ROM binary file,
CVE-2016-3931,"drivers/misc/qseecom.c in the Qualcomm QSEE Communicator driver in Android before 2016-10-05 on Nexus 5X, Nexus 6, Nexus 6P, and Android One devices allows attackers to gain privileges via a crafted application, aka Android internal bug 29157595 and Qualcomm internal bug CR 1036418.",,,drivers/misc/qseecom.c in the Qualcomm QSEE Communicator driver,"Android before 2016-10-05 on Nexus 5X, Nexus 6, Nexus 6P, and Android One devices",,"a crafted application, aka Android internal bug 29157595 and Qualcomm internal bug CR 1036418",gain privileges
CVE-2017-5610,"wp-admin/includes/class-wp-press-this.php in Press This in WordPress before 4.7.2 does not properly restrict visibility of a taxonomy-assignment user interface, which allows remote attackers to bypass intended access restrictions by reading terms.",does not properly restrict visibility of a taxonomy-assignment user interface,,wp-admin/includes/class-wp-press-this.php,Press This in WordPress before 4.7.2,remote attackers,reading terms,bypass intended access restrictions
CVE-2012-2716,Cross-site request forgery (CSRF) vulnerability in the Comment Moderation module 6.x-1.x before 6.x-1.1 for Drupal allows remote attackers to hijack the authentication of administrators for requests that publish comments.,Cross-site request forgery (CSRF) vulnerability,,the Comment Moderation module 6.x-1.x before 6.x-1.1 for Drupal,,remote attackers,,hijack the authentication of administrators for requests that publish comments
CVE-2019-19523,"In the Linux kernel before 5.3.7, there is a use-after-free bug that can be caused by a malicious USB device in the drivers/usb/misc/adutux.c driver, aka CID-44efc269db79.",a use-after-free bug,,"the drivers/usb/misc/adutux.c driver, aka CID-44efc269db79",the Linux kernel before 5.3.7,,a malicious USB device,
CVE-2016-7166,"libarchive before 3.2.0 does not limit the number of recursive decompressions, which allows remote attackers to cause a denial of service (memory consumption and application crash) via a crafted gzip file.",does not limit the number of recursive decompressions,,,libarchive before 3.2.0,remote attackers,a crafted gzip file,a denial of service (memory consumption and application crash)
CVE-2015-9501,The Artificial Intelligence theme before 1.2.4 for WordPress has XSS because Genericons HTML files are unnecessarily placed under the web root.,XSS,Genericons HTML files are unnecessarily placed under the web root,,The Artificial Intelligence theme before 1.2.4 for WordPress,,,
CVE-2014-8987,"Cross-site scripting (XSS) vulnerability in the ""set configuration"" box in the Configuration Report page (adm_config_report.php) in MantisBT 1.2.13 through 1.2.17 allows remote administrators to inject arbitrary web script or HTML via the config_option parameter, a different vulnerability than CVE-2014-8986.",Cross-site scripting (XSS) vulnerability,,"the ""set configuration"" box",the Configuration Report page (adm_config_report.php) in MantisBT 1.2.13 through 1.2.17,remote administrators,"the config_option parameter, a different vulnerability than CVE-2014-8986",inject arbitrary web script or HTML
CVE-2017-12177,xorg-x11-server before 1.19.5 was vulnerable to integer overflow in ProcDbeGetVisualInfo function allowing malicious X client to cause X server to crash or possibly execute arbitrary code.,integer overflow,,ProcDbeGetVisualInfo function,xorg-x11-server before 1.19.5,malicious X client to cause X server,,crash or possibly execute arbitrary code
